App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
5804497,HDR,07/13/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5810993,HDR,08/09/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5809864,HDR,08/04/2017,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,09/24/2017 06:00:40 PM
5819740,HDR,09/18/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5814774,HDR,08/27/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5821218,HDR,09/24/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5802482,HDR,07/05/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5815485,HDR,08/30/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5807065,HDR,07/25/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5811556,HDR,08/12/2017,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Not Applicable,09/24/2017 06:00:40 PM
5804434,HDR,07/13/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5798210,HDR,06/14/2017,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,09/24/2017 06:00:40 PM
5810058,HDR,08/07/2017,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,09/24/2017 06:00:40 PM
5811631,HDR,08/13/2017,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,09/24/2017 06:00:40 PM
5809287,HDR,08/02/2017,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5805327,HDR,07/17/2017,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5804670,HDR,07/14/2017,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5811121,HDR,08/10/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5811671,HDR,08/14/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5805051,HDR,07/15/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5814157,HDR,08/23/2017,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5815510,HDR,08/30/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5810702,HDR,08/09/2017,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,09/24/2017 06:00:40 PM
5814236,HDR,08/24/2017,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
5808582,HDR,07/31/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,09/24/2017 06:00:40 PM
5811319,HDR,08/11/2017,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,09/24/2017 06:00:40 PM
5786208,HDR,04/28/2017,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,09/24/2017 06:00:40 PM
